violationnumber,violationtype,form,violationdate,casenumber,casetype,officer,violationjurisdiction,court,docket,appearancedate,outcomedate,outcomestat,receipt,offense,ObjectId
V22-019153,VIOL NOTIC,01-52265,2022/07/06 17:58:00+00,A22-104631-1,INVESTIGAT NEGLI,OFFICER RATLIFF,40217,,,2022/09/06 00:00:00,2022/08/04 00:00:00,COMPLIED,R22-255403,91.020,2363
V19-012707,WARN/CITE,01-51252,2020/03/05 02:30:00+00,A19-067631-6,CONVERT CITATION,OFFICER WERMUTH,40203,04/03/20,P198951,2020/03/01 00:00:00,,CONV CITA,,91.020,2364
V20-013382,VIOL CTER,01-51376,2020/01/04 23:24:00+00,A20-077636-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40212,,,2020/01/18 18:00:00,2020/02/07 00:00:00,COMPLIED,,91.071,2365
V20-015341,VIOL CTER,VR20-207143,2020/11/17 17:45:00+00,A20-086562-1,XTRA SERVE VIOL OTC,OFFICER HARRIS,40218,,,2020/11/17 12:58:00,2020/11/17 00:00:00,COMPLIED,R20-207143,91.002,2366
V19-012755,VOTC/CITE,VR19-186236,2020/03/03 13:28:00+00,,,,40218,03/25/20,P194200,2020/02/26 00:00:00,,CONV CITA,,91.002,2367
V22-019183,CITATION,P193683,2022/07/09 15:52:00+00,A22-104790-4,STRAY AGGRS,OFFICER CARPENTER,40216,08/10/22,,,,,,91.002,2368
V20-013403,CIT DD/PDD,P194261,2020/01/06 23:12:00+00,A20-077708-3,INVESTIGAT ANI ATTACK,OFFICER KERR,40229,01/27/20,,,,,,91.150,2369
V20-014629,VET,01-51506,2020/06/27 22:26:00+00,A20-082768-1,XTRA SERVE VIOL OTC,OFFICER KERR,40218,,,2020/07/11 00:00:00,2020/08/03 00:00:00,COMPLIED,,91.090,2370
V19-012808,WARN/CITE,01-51029,2020/01/29 16:22:00+00,A19-075489-1,OWNED AGGRESSIVE,OFFICER CURTIS,40218,02/27/20,N919416,2020/01/15 00:00:00,2020/02/27 00:00:00,DISMISSED,,91.020,2371
V22-019179,WARNING,01-50454,2022/07/06 13:09:00+00,A22-104628-3,ASSIST ACO,OFFICER THOMPSON,40216,,,2022/07/08 00:00:00,2022/07/11 00:00:00,DISMISSED,,91.090,2372
V20-013384,WARN/CITE,VR20-189888,2020/10/30 02:25:00+00,A20-077636-2,CONVERT CITATION,OFFICER SABATINI,40218,12/15/20,N918966,2020/10/18 18:00:00,,CONV CITA,,91.002,2373
V20-014673,VET,01-51507,2020/07/02 18:38:00+00,A20-082912-1,XTRA SERVE VIOL OTC,OFFICER KERR,40218,,,2020/10/01 00:00:00,2020/10/01 00:00:00,COMPLIED,,91.090,2374
V20-014630,VIOL RED,VR20-199578,2020/06/27 22:46:00+00,,,,40218,,,2020/07/27 00:00:00,2020/07/27 00:00:00,COMPLIED,R20-199578,91.002,2375
V19-012810,WARN/CITE,01-51031,2020/01/03 13:46:00+00,A19-074783-1,INVESTIGAT CHAINING,OFFICER CURTIS,40218,01/29/20,P194132,2020/01/08 00:00:00,2020/01/29 00:00:00,GUILTY,,91.020,2376
V22-019179,WARNING,01-50454,2022/07/06 13:09:00+00,A22-104628-3,ASSIST ACO,OFFICER THOMPSON,40216,,,2022/07/08 00:00:00,2022/07/11 00:00:00,DISMISSED,,91.090,2377
V20-013403,CIT DD/PDD,P194261,2020/01/06 23:12:00+00,A20-077708-3,INVESTIGAT ANI ATTACK,OFFICER KERR,40229,01/27/20,,,,,,91.002,2378
V20-014677,CIVIL PEN,02-100365,2020/07/03 20:14:00+00,A20-082926-4,INVESTIGAT ANI ATTACK,OFFICER BURTON,40218,,,2020/09/01 00:00:00,,HAND ADMIN,,91.002,2379
V20-014663,VET,VR20-199912,2020/07/01 19:50:00+00,A20-082881-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218,,,2020/07/08 18:00:00,2020/07/09 00:00:00,COMPLIED,,91.090,2380
V22-019180,CITE71,P362079,2022/07/06 13:09:00+00,A22-104628-3,ASSIST ACO,OFFICER THOMPSON,40216,08/03/22,,,,,,91.002,2381
V20-013408,V71/CITE,04-2232,2020/03/05 02:50:00+00,A20-077733-1,TRANSPORT ANIMAL,OFFICER WERMUTH,40203,04/01/20,P198952,2020/02/07 18:43:00,,COMPLIED,,91.002,2382
V20-014665,VIOL CTER,VR20-199919,2020/07/01 21:55:00+00,A20-082889-1,XTRA SERVE VIOL OTC,OFFICER KERR,40218,,,2020/07/01 18:05:00,2020/07/01 00:00:00,COMPLIED,R20-199919,91.002,2383
V20-014674,CIT DD/PDD,P198656,2020/07/02 20:15:00+00,A20-082863-5,INVESTIGAT BITE,OFFICER PETERSON,40223,10/08/20,,,,,,91.150,2384
V22-019180,CITE71,P362079,2022/07/06 13:09:00+00,A22-104628-3,ASSIST ACO,OFFICER THOMPSON,40216,08/03/22,,,,,,91.004,2385
V20-013505,VIOL CTER,VR20-191046,2020/01/21 17:47:00+00,,,,40215,,,2020/01/21 12:47:00,2020/01/21 00:00:00,COMPLIED,R20-191046,91.002,2386
V20-014675,CIVIL PEN,02-100387,2020/07/02 22:10:00+00,A20-082898-2,OWNED AGGRESSIVE,OFFICER PETERSON,40217,,,2020/09/01 00:00:00,2020/11/20 00:00:00,DISMISSED,,91.004,2387
V22-019180,CITE71,P362079,2022/07/06 13:09:00+00,A22-104628-3,ASSIST ACO,OFFICER THOMPSON,40216,08/03/22,,,,,,91.071,2388
V20-013505,VIOL CTER,VR20-191046,2020/01/21 17:47:00+00,,,,40215,,,2020/01/21 12:47:00,2020/01/21 00:00:00,COMPLIED,R20-191046,91.020,2389
V20-014688,VIOL RED,VR20-199987,2020/07/04 21:20:00+00,A20-082970-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218,,,2020/08/12 18:00:00,2020/08/03 00:00:00,COMPLIED,,91.002,2390
V22-019180,CITE71,P362079,2022/07/06 13:09:00+00,A22-104628-3,ASSIST ACO,OFFICER THOMPSON,40216,08/03/22,,,,,,91.020,2391
V20-013519,VIOL CTER,VR20-191135,2020/01/22 23:01:00+00,A20-078238-1,XTRA SERVE,OFFICER WERMUTH,40218,,,2020/01/22 18:01:00,2020/01/22 00:00:00,COMPLIED,R20-191135,91.002,2392
V20-014689,VIOL RED,VR20-199990,2020/07/04 22:52:00+00,A20-082971-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218,,,2020/10/18 18:00:00,2020/09/29 00:00:00,COMPLIED,,91.002,2393
V20-013545,WARN/CITE,01-51137,2020/06/12 00:50:00+00,A20-078245-2,OWNED AGGRESSIVE,OFFICER BURTON,40218,10/02/20,P199043,2020/03/15 18:19:00,2021/01/27 00:00:00,VOID,,91.020,2394
V20-014690,VET,VR20-199990,2020/07/04 22:52:00+00,A20-082971-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218,,,2020/07/11 18:00:00,2020/07/11 00:00:00,COMPLIED,,91.090,2395
V20-013548,CIVIL PEN,02-100356,2020/01/25 00:05:00+00,A19-076979-3,OWNED AGGRESSIVE,OFFICER BURTON,40215,,,2020/03/03 19:05:00,,HAND ADMIN,,91.002,2396
V20-014789,VIOL CTER,VR20-201079,2020/07/22 21:56:00+00,A20-083446-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218,,,2020/07/22 18:04:00,2020/07/22 00:00:00,COMPLIED,R20-201079,91.002,2397
V20-014807,CIT DD/PDD,P198729,2020/07/25 16:16:00+00,A20-083519-2,INVESTIGAT ANI ATTACK,OFFICER COGBURN,40215,10/23/20,,,,,,91.002,2398
V20-014807,CIT DD/PDD,P198729,2020/07/25 16:16:00+00,A20-083519-2,INVESTIGAT ANI ATTACK,OFFICER COGBURN,40215,10/23/20,,,,,,91.020,2399
V20-014818,VET/CRIM,01-50067,2021/04/15 15:16:00+00,A20-083486-8,INVESTIGAT BITE,OFFICER MILLER,40212,,3933040,2020/09/03 00:00:00,,DISMISSED,,91.090,2400
V20-013889,VIOL NOTIC,01-51367,2020/03/08 13:59:00+00,A20-079287-1,OWNED AGGRESSIVE,OFFICER THOMPSON,40118,,,2020/09/01 00:00:00,2020/09/02 00:00:00,VOID,,91.020,2401
V20-013828,VIOL CTER,VR20-193507,2020/02/29 18:13:00+00,,,,40218,,,2020/02/29 13:26:00,2020/02/29 00:00:00,COMPLIED,R20-193507,91.020,2402
V20-013828,VIOL CTER,VR20-193507,2020/02/29 18:13:00+00,,,,40218,,,2020/02/29 13:26:00,2020/02/29 00:00:00,COMPLIED,R20-193507,91.071,2403
V20-013889,VIOL NOTIC,01-51367,2020/03/08 13:59:00+00,A20-079287-1,OWNED AGGRESSIVE,OFFICER THOMPSON,40118,,,2020/09/01 00:00:00,2020/09/02 00:00:00,VOID,,91.020,2404
V20-013829,VIOL CTER,VR20-193505,2020/02/29 17:51:00+00,,,,40218,,,2020/02/29 13:26:00,2020/02/29 00:00:00,COMPLIED,R20-193505,91.020,2405
V20-013937,VOTC/CITE,VR20-194516,2020/03/16 17:24:00+00,,,,,06/16/20,P198611,2020/03/16 13:43:00,,CONV CITA,,91.002,2406
V20-013946,VIOL CTER,VR20-194598,2020/03/17 20:12:00+00,A20-080120-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218,,,2020/03/17 18:27:00,2020/04/03 00:00:00,COMPLIED,R20-194598,91.002,2407
V20-013829,VIOL CTER,VR20-193505,2020/02/29 17:51:00+00,,,,40218,,,2020/02/29 13:26:00,2020/02/29 00:00:00,COMPLIED,R20-193505,91.071,2408
V20-013982,CIVIL PEN,02-100443,2020/03/26 21:45:00+00,A20-079689-1,INVESTIGAT ANI ATTACK,OFFICER BURTON,40272,,,2020/08/01 00:00:00,2020/04/14 00:00:00,VOID,,91.002,2409
V20-013832,VIOL CTER,VR20-193510,2020/02/29 18:50:00+00,,,,40218,,,2020/02/29 14:58:00,2020/02/29 00:00:00,COMPLIED,R20-193510,91.020,2410
V20-014010,CIVIL PEN,02-100361,2020/03/31 22:20:00+00,A20-079359-3,NUISANCE BARK,OFFICER BURTON,40203,,,2020/04/09 18:20:00,2020/09/02 00:00:00,DISMISSED,,91.004,2411
V20-013832,VIOL CTER,VR20-193510,2020/02/29 18:50:00+00,,,,40218,,,2020/02/29 14:58:00,2020/02/29 00:00:00,COMPLIED,R20-193510,91.071,2412
V20-014067,VET,01-51501,2020/04/10 18:15:00+00,,,,40218,,,2020/04/11 00:00:00,2020/04/15 00:00:00,COMPLIED,,91.090,2413
V20-013744,VIOL CTER,VR20-192862,2020/02/17 22:24:00+00,,,,40218,,,2020/02/17 17:24:00,2020/02/17 00:00:00,COMPLIED,R20-192861,91.020,2414
V20-014079,VIOL CTER,VR20-195640,2020/04/12 20:27:00+00,A20-080686-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218,,,2020/04/12 16:30:00,2020/04/12 00:00:00,COMPLIED,R20-195640,91.002,2415
V20-013744,VIOL CTER,VR20-192862,2020/02/17 22:24:00+00,,,,40218,,,2020/02/17 17:24:00,2020/02/17 00:00:00,COMPLIED,R20-192861,91.071,2416
V20-014091,VIOL CTER,VR20-195725,2020/04/14 16:33:00+00,,,,40218,,,2020/04/14 12:33:00,2020/04/14 00:00:00,COMPLIED,R20-195725,91.002,2417
V22-019201,CIT DD/PDD,P193853,2022/07/11 20:00:00+00,A22-104822-1,INVESTIGAT BITE,OFFICER COLLINS,40218,08/01/22,,,,,R22-253599,91.002,2418
V23-023097,VIOL NOTIC,01-1092,2023/11/26 15:35:00+00,A23-123155-3,INVESTIGAT ANI ATTACK,OFFICER RATLIFF,40213,,,2024/01/26 00:00:00,2024/01/23 00:00:00,COMPLIED,R24-295858,91.020,2419
V21-016159,VIOL CTER,VR21-214568,2021/05/05 19:44:00+00,,,,40218,,,2021/05/05 15:44:00,2021/05/05 00:00:00,COMPLIED,R21-214568,91.002,2420
V23-022917,VOTC/CITE,VR23-290749,2023/10/31 22:24:00+00,A23-122446-1,XTRA SERVE VIOL OTC,OFFICER MATTINGLY,40218,11/08/23,P193933,2023/10/31 19:26:00,,CONV CITA,,91.071,2421
V21-016069,CIVIL PEN,02-100980,2021/04/17 18:11:00+00,,,,40217,,,2021/04/27 00:00:00,2021/04/23 00:00:00,DISMISSED,,91.004,2422
V20-014505,VIOL CTER,VR20-198352,2020/06/08 21:28:00+00,,,,40215,,,2020/06/08 17:28:00,2020/06/08 00:00:00,COMPLIED,R20-198352,91.020,2423
V20-014505,VIOL CTER,VR20-198352,2020/06/08 21:28:00+00,,,,40215,,,2020/06/08 17:28:00,2020/06/08 00:00:00,COMPLIED,R20-198352,91.071,2424
V20-014571,VIOL CTER,VR20-199109,2020/06/19 21:36:00+00,,,,40215,,,2020/06/19 17:36:00,2020/06/19 00:00:00,COMPLIED,R20-199109,91.020,2425
V20-014571,VIOL CTER,VR20-199109,2020/06/19 21:36:00+00,,,,40215,,,2020/06/19 17:36:00,2020/06/19 00:00:00,COMPLIED,R20-199109,91.071,2426
V20-013920,VRED/CITE,VR20-194380,2020/10/13 15:17:00+00,,,,40218,12/03/20,N918936,2020/10/12 00:00:00,,CONV CITA,R20-194380,91.020,2427
V20-013920,VRED/CITE,VR20-194380,2020/10/13 15:17:00+00,,,,40218,12/03/20,N918936,2020/10/12 00:00:00,,CONV CITA,R20-194380,91.071,2428
V20-013529,VIOL RED,VR20-191190,2020/01/23 20:21:00+00,,,,40218,,,2020/10/12 00:00:00,,SENT ATTOR,,91.020,2429
V20-013529,VIOL RED,VR20-191190,2020/01/23 20:21:00+00,,,,40218,,,2020/10/12 00:00:00,,SENT ATTOR,,91.071,2430
V20-013528,VIOL RED,VR20-191185,2020/01/23 19:10:00+00,,,,40218,,,2020/04/23 00:00:00,2020/02/05 00:00:00,COMPLIED,R20-191185,91.020,2431
V20-013528,VIOL RED,VR20-191185,2020/01/23 19:10:00+00,,,,40218,,,2020/04/23 00:00:00,2020/02/05 00:00:00,COMPLIED,R20-191185,91.071,2432
V20-013527,VIOL RED,VR20-191186,2020/01/23 19:12:00+00,,,,40218,,,2020/10/12 00:00:00,2020/09/22 00:00:00,COMPLIED,R20-191186,91.020,2433
V20-013527,VIOL RED,VR20-191186,2020/01/23 19:12:00+00,,,,40218,,,2020/10/12 00:00:00,2020/09/22 00:00:00,COMPLIED,R20-191186,91.071,2434
V20-013900,VRED/CITE,VR20-194188,2020/10/14 13:42:00+00,,,,40218,12/07/20,N918939,2020/10/12 00:00:00,,CONV CITA,,91.020,2435
V20-013900,VRED/CITE,VR20-194188,2020/10/14 13:42:00+00,,,,40218,12/07/20,N918939,2020/10/12 00:00:00,,CONV CITA,,91.071,2436
V20-013901,VIOL CTER,VR20-194190,2020/03/10 18:50:00+00,,,,40218,,,2020/03/10 14:50:00,2020/03/10 00:00:00,COMPLIED,R20-194190,91.020,2437
V20-014633,WARNING,01-51536,2020/06/28 21:47:00+00,A20-082783-2,OWNED AGGRESSIVE,OFFICER PETERSON,40258,,,2020/09/01 18:00:00,2020/07/23 00:00:00,COMPLIED,R20-201135,91.002,2438
V20-014634,WARNING,01-51605,2020/06/28 17:10:00+00,A20-082778-1,INVESTIGAT ANI ATTACK,OFFICER THOMPSON,40243,,,2020/09/01 00:00:00,2020/06/29 00:00:00,COMPLIED,,91.020,2439
V20-014635,CIT DD/PDD,P198834,2020/06/28 17:49:00+00,A20-082778-2,INVESTIGAT ANI ATTACK,OFFICER THOMPSON,40243,10/02/20,,,,,,91.150,2440
V20-014635,CIT DD/PDD,P198834,2020/06/28 17:49:00+00,A20-082778-2,INVESTIGAT ANI ATTACK,OFFICER THOMPSON,40243,10/02/20,,,,,,91.020,2441
V20-014656,VIOL CTER,VR20-199815,2020/06/30 21:29:00+00,A20-082843-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218,,,2020/06/30 17:36:00,2020/06/30 00:00:00,COMPLIED,R20-014656,91.002,2442
V20-014657,VIOL CTER,VR20-199815,2020/06/30 21:29:00+00,A20-082843-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218,,,2020/07/06 18:00:00,2020/07/06 00:00:00,COMPLIED,,91.071,2443
V20-014660,WARN/CP,01-51324,2020/12/22 20:20:00+00,A20-082702-4,INVESTIGAT NEGLI,OFFICER SABATINI,40218,01/01/21,V20-014660,2020/10/23 18:00:00,,HAND ADMIN,,91.020,2444
V20-014660,WARN/CP,01-51324,2020/12/22 20:20:00+00,A20-082702-4,INVESTIGAT NEGLI,OFFICER SABATINI,40218,01/01/21,V20-014660,2020/10/23 18:00:00,,HAND ADMIN,,91.020,2445
V20-014728,CIT DD/PDD,P198920,2020/07/09 00:45:00+00,A20-082905-2,INVESTIGAT BITE,OFFICER SABATINI,40299,10/07/20,,,,,,91.150,2446
V20-014729,WARNING,01-50129,2020/07/09 20:16:00+00,A20-083073-2,INVESTIGAT BITE,OFFICER STEWART,40203,,,2020/09/09 00:00:00,2020/08/07 00:00:00,COMPLIED,,91.020,2447
V20-014731,VOTC/CITE,VR20-200387,2020/07/10 22:46:00+00,A20-083161-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218,10/05/20,P198751,2020/07/10 18:46:00,,CONV CITA,,91.002,2448
V20-014731,VOTC/CITE,VR20-200387,2020/07/10 22:46:00+00,A20-083161-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218,10/05/20,P198751,2020/07/10 18:46:00,,CONV CITA,,91.020,2449
V20-014730,CIT DD/PDD,P198633,2020/07/10 14:30:00+00,A20-083140-1,INVESTIGAT BITE,OFFICER MILLER,40208,10/15/20,,,,,,91.150,2450
V23-022997,CIVIL PEN,02-101498,2023/11/10 00:25:00+00,A23-122837-1,OWNED AGGRESSIVE,OFFICER GOODMAN,40272,,,2024/02/21 00:00:00,,LIEN,,91.004,2451
V21-015893,VIOL CTER,VR21-212392,2021/03/23 16:36:00+00,,,,40218,,,2021/03/23 14:43:00,2021/03/23 00:00:00,COMPLIED,R21-212392,91.071,2452
V23-022997,CIVIL PEN,02-101498,2023/11/10 00:25:00+00,A23-122837-1,OWNED AGGRESSIVE,OFFICER GOODMAN,40272,,,2024/02/21 00:00:00,,LIEN,,91.004,2453
V23-023001,CIT DD/PDD,P360437,2023/11/10 18:35:00+00,A23-122861-1,INVESTIGAT BITE,OFFICER MCKECHNIE,40258,12/12/23,,,,,,91.150,2454
V23-023001,CIT DD/PDD,P360437,2023/11/10 18:35:00+00,A23-122861-1,INVESTIGAT BITE,OFFICER MCKECHNIE,40258,12/12/23,,,,,,91.150,2455
V23-023001,CIT DD/PDD,P360437,2023/11/10 18:35:00+00,A23-122861-1,INVESTIGAT BITE,OFFICER MCKECHNIE,40258,12/12/23,,,,,,91.072,2456
V23-023001,CIT DD/PDD,P360437,2023/11/10 18:35:00+00,A23-122861-1,INVESTIGAT BITE,OFFICER MCKECHNIE,40258,12/12/23,,,,,,91.072,2457
V23-023087,WARN/CP,01-1480,2024/03/03 21:15:00+00,A23-123305-1,INVESTIGAT ANI ATTACK,OFFICER MATTINGLY,40216,03/13/24,V23-023087,2024/02/25 00:00:00,,HAND ADMIN,,91.020,2458
V23-023087,WARN/CP,01-1480,2024/03/03 21:15:00+00,A23-123305-1,INVESTIGAT ANI ATTACK,OFFICER MATTINGLY,40216,03/13/24,V23-023087,2024/02/25 00:00:00,,HAND ADMIN,,91.020,2459
V23-023088,VET,01-1480,2023/11/25 01:31:00+00,A23-123305-1,INVESTIGAT ANI ATTACK,OFFICER MATTINGLY,40216,,,2023/11/29 00:00:00,2023/12/10 00:00:00,COMPLIED,,91.090,2460
V23-023091,VIOL CTER,VR23-292472,2023/11/25 20:25:00+00,A23-123323-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218,,,2024/01/24 18:00:00,2024/03/31 00:00:00,COMPLIED,,91.002,2461
V23-023091,VIOL CTER,VR23-292472,2023/11/25 20:25:00+00,A23-123323-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218,,,2024/01/24 18:00:00,2024/03/31 00:00:00,COMPLIED,,91.020,2462
V23-023091,VIOL CTER,VR23-292472,2023/11/25 20:25:00+00,A23-123323-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218,,,2024/01/24 18:00:00,2024/03/31 00:00:00,COMPLIED,,91.071,2463
V23-023095,WARNING,01-1159,2023/11/26 15:25:00+00,A23-123335-1,STRAY INJURED,OFFICER FLYNN,40218,,,2023/11/28 10:25:00,2023/11/30 00:00:00,COMPLIED,,91.090,2464
V23-023096,WARNING,01-1159,2023/11/26 15:25:00+00,,,,40218,,,2024/02/26 10:25:00,2024/02/27 00:00:00,COMPLIED,R24-297938,91.020,2465
V21-015895,VIOL CTER,VR21-212405,2021/03/23 20:10:00+00,,,,40218,,,2021/03/23 16:17:00,2021/03/23 00:00:00,COMPLIED,R21-212405,91.002,2466
V20-014095,CIT DD/PDD,P198957,2020/04/15 00:45:00+00,A20-079689-9,INVESTIGAT ANI ATTACK,OFFICER WERMUTH,40272,06/03/20,,,2020/07/28 00:00:00,DISMISSED,,91.150,2467
V21-016159,VIOL CTER,VR21-214568,2021/05/05 19:44:00+00,,,,40218,,,2021/05/05 15:44:00,2021/05/05 00:00:00,COMPLIED,R21-214568,91.020,2468
V22-019201,CIT DD/PDD,P193853,2022/07/11 20:00:00+00,A22-104822-1,INVESTIGAT BITE,OFFICER COLLINS,40218,08/01/22,,,,,R22-253599,91.020,2469
V23-022979,VIOL CTER,VR23-291184,2023/11/08 18:31:00+00,,,,40218,,,2023/11/08 13:42:00,2023/11/08 00:00:00,COMPLIED,R23-291184,91.002,2470
V23-023099,WARN/CRIM,01-1160,2024/03/14 15:13:00+00,A23-121222-5,INVESTIGAT NEGLI,OFFICER FLYNN,40210,,4720481,2024/02/18 00:00:00,,CONV CRIM,,91.091,2471
V23-023099,WARN/CRIM,01-1160,2024/03/14 15:13:00+00,A23-121222-5,INVESTIGAT NEGLI,OFFICER FLYNN,40210,,4720481,2024/02/18 00:00:00,,CONV CRIM,,91.091,2472
V21-016057,VIOL CTER,VR21-213607,2021/04/16 18:33:00+00,,,,40218,,,2021/04/16 14:37:00,2021/04/16 00:00:00,COMPLIED,R21-213607,91.002,2473
V23-022979,VIOL CTER,VR23-291184,2023/11/08 18:31:00+00,,,,40218,,,2023/11/08 13:42:00,2023/11/08 00:00:00,COMPLIED,R23-291184,91.020,2474
V20-014097,WARNING,01-50004,2020/04/15 15:20:00+00,A20-080723-2,INVESTIGAT ANI ATTACK,OFFICER RATLIFF,40245,,,2020/09/15 00:00:00,2020/10/07 00:00:00,COMPLIED,,91.020,2475
V19-011796,VIOL 71,04-0386,2020/02/04 03:18:00+00,A19-070605-2,INVESTIGAT ANI ATTACK,OFFICER WERMUTH,40212,,,2020/02/01 00:00:00,2020/02/04 00:00:00,VOID,,91.002,2476
V23-023100,WARNING,01-1160,2023/11/26 18:12:00+00,,,,40210,,,2024/01/26 13:12:00,2024/01/26 00:00:00,COMPLIED,,91.020,2477
V22-019201,CIT DD/PDD,P193853,2022/07/11 20:00:00+00,A22-104822-1,INVESTIGAT BITE,OFFICER COLLINS,40218,08/01/22,,,,,R22-253599,91.071,2478
V21-016160,VIOL CTER,VR21-214573,2021/05/05 20:28:00+00,,,,40218,,,2021/05/05 16:28:00,2021/05/05 00:00:00,COMPLIED,R21-214573,91.002,2479
V21-016057,VIOL CTER,VR21-213607,2021/04/16 18:33:00+00,,,,40218,,,2021/04/16 14:37:00,2021/04/16 00:00:00,COMPLIED,R21-213607,91.020,2480
V23-022979,VIOL CTER,VR23-291184,2023/11/08 18:31:00+00,,,,40218,,,2023/11/08 13:42:00,2023/11/08 00:00:00,COMPLIED,R23-291184,91.071,2481
V20-014097,WARNING,01-50004,2020/04/15 15:20:00+00,A20-080723-2,INVESTIGAT ANI ATTACK,OFFICER RATLIFF,40245,,,2020/09/15 00:00:00,2020/10/07 00:00:00,COMPLIED,,91.020,2482
V20-015141,CIT DD/PDD,P198674,2020/10/08 21:36:00+00,A20-085529-3,INVESTIGAT ANI ATTACK,OFFICER PETERSON,40118,12/01/20,,,,,,91.002,2483
V23-023100,WARNING,01-1160,2023/11/26 18:12:00+00,,,,40210,,,2024/01/26 13:12:00,2024/01/26 00:00:00,COMPLIED,,91.020,2484
V22-019201,CIT DD/PDD,P193853,2022/07/11 20:00:00+00,A22-104822-1,INVESTIGAT BITE,OFFICER COLLINS,40218,08/01/22,,,,,R22-253599,91.150,2485
V21-016160,VIOL CTER,VR21-214573,2021/05/05 20:28:00+00,,,,40218,,,2021/05/05 16:28:00,2021/05/05 00:00:00,COMPLIED,R21-214573,91.020,2486
V21-016160,VIOL CTER,VR21-214573,2021/05/05 20:28:00+00,,,,40218,,,2021/05/05 16:28:00,2021/05/05 00:00:00,COMPLIED,R21-214573,91.071,2487
V21-016160,VIOL CTER,VR21-214573,2021/05/05 20:28:00+00,,,,40218,,,2021/05/05 16:28:00,2021/05/05 00:00:00,COMPLIED,R21-214573,91.002,2488
V14-002226,VN/CITE,01-031001,2020/12/15 19:12:00+00,A14-014867-3,INVESTIGAT BITE,OFFICER THOMAS,40229,01/22/2015,M036936,2014/12/12 00:00:00,2015/10/01 00:00:00,CONV CITA,R15-033499,CITATION,2489
V14-002226,VN/CITE,01-031001,2020/12/15 19:12:00+00,A14-014867-3,INVESTIGAT BITE,OFFICER THOMAS,40229,01/22/2015,M036936,2014/12/12 00:00:00,2015/10/01 00:00:00,CONV CITA,R15-033499,CITATION,2490
V19-011660,VRED/CITE,VR19-176353,2020/01/03 14:16:00+00,,,,40215,02/05/20,P194276,2019/12/15 00:00:00,2020/02/05 00:00:00,GUILTY,R19-176353,91.002,2491
V19-011645,VRED/CITE,VR19-176245,2020/02/03 20:31:00+00,,,,40218,03/03/20,P199056,2020/01/03 00:00:00,,CONV CITA,R19-176245,91.002,2492
V19-011839,VRED/CITE,VR19-178926,2020/01/28 16:03:00+00,,,,40215,02/26/20,P194517,2020/01/06 00:00:00,,CONV CITA,,91.002,2493
V19-011839,VRED/CITE,VR19-178926,2020/01/28 16:03:00+00,,,,40215,02/26/20,P194517,2020/01/06 00:00:00,,CONV CITA,,91.071,2494
V19-012044,WARN/CITE,01-031815,2020/01/01 19:50:00+00,A19-071921-4,CONVERT CITATION,OFFICER HARRIS,40272,02/06/20,P194385,2019/12/26 14:00:00,,CONV CITA,,91.072,2495
V19-012183,WARN/CITE,01-031767,2020/02/29 03:39:00+00,A19-072682-2,CONVERT CITATION,OFFICER WERMUTH,40208,03/25/20,P194598,2020/02/20 21:36:00,,CONV CITA,,91.020,2496
V19-012183,WARN/CITE,01-031767,2020/02/29 03:39:00+00,A19-072682-2,CONVERT CITATION,OFFICER WERMUTH,40208,03/25/20,P194598,2020/02/20 21:36:00,,CONV CITA,,91.020,2497
V19-012167,WARN/CITE,01-030552,2020/01/03 14:39:00+00,A19-072546-2,TRANSPORT ANIMAL,OFFICER CURTIS,40218,01/31/20,P194134,2019/12/01 00:00:00,,CONV CITA,,91.020,2498
V19-011960,VN/CITE,01-031693,2020/01/28 16:26:00+00,A19-071552-1,OWNED AGGRESSIVE,OFFICER RATLIFF,40211,02/26/20,P194518,2020/01/07 00:00:00,,CONV CITA,,91.002,2499
V19-012540,WARN/CITE,01-035468,2020/01/11 13:41:00+00,A19-074375-3,CONVERT CITATION,OFFICER THOMPSON,40272,02/10/20,P194447,2020/01/02 00:00:00,,CONV CITA,,91.020,2500
V19-012540,WARN/CITE,01-035468,2020/01/11 13:41:00+00,A19-074375-3,CONVERT CITATION,OFFICER THOMPSON,40272,02/10/20,P194447,2020/01/02 00:00:00,,CONV CITA,,91.020,2501
V19-012540,WARN/CITE,01-035468,2020/01/11 13:41:00+00,A19-074375-3,CONVERT CITATION,OFFICER THOMPSON,40272,02/10/20,P194447,2020/01/02 00:00:00,,CONV CITA,,91.020,2502
